"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","8","1","0","17","17","103.2","11.46","2.08","0.43",".298","77.6%","47.8%","6.8%","96.3","2.52","","2.00","2.62","4.1","19361"
"Walker Buehler","LAD","10","4","0","20","20","124.1","9.77","2.53","0.58",".258","76.9%","47.1%","7.8%","95.4","2.53","","2.78","3.40","4.0","19374"
"Zack Wheeler","PHI","10","7","0","19","19","123.0","9.88","2.05","0.66",".298","72.0%","51.5%","11.3%","97.2","3.15","","2.73","2.93","4.0","10310"
"Charlie Morton","ATL","9","3","0","20","20","119.2","10.60","2.41","0.68",".241","77.8%","46.8%","9.9%","95.6","2.71","","2.84","3.21","3.5","4676"
"Max Fried","ATL","11","3","0","18","18","115.0","8.53","1.80","0.70",".251","78.8%","55.9%","11.5%","94.1","2.35","","2.94","3.12","3.2","13743"
"Max Scherzer","- - -","10","0","0","17","17","102.0","11.65","1.85","1.06",".253","81.3%","36.2%","10.7%","94.6","2.65","","2.91","3.31","3.2","3137"
"Nathan Eovaldi","BOS","4","6","0","18","18","103.1","10.54","1.48","1.05",".326","71.6%","40.1%","10.8%","96.8","3.75","","2.92","3.30","3.1","9132"
"Logan Webb","SFG","7","0","0","17","17","99.1","9.42","1.72","0.45",".300","76.5%","62.4%","10.0%","93.2","2.63","","2.43","2.66","3.1","17995"
"Luis Castillo","CIN","6","7","0","20","20","123.2","9.61","3.49","0.73",".307","81.9%","60.4%","13.3%","97.5","2.69","","3.32","3.34","3.1","15689"
"Robbie Ray","TOR","9","5","0","20","20","123.0","11.41","2.56","1.24",".261","90.0%","32.9%","12.1%","94.3","2.49","","3.33","3.54","3.0","11486"
"Frankie Montas","OAK","7","3","0","19","19","117.0","10.31","3.00","0.69",".278","77.1%","46.2%","10.1%","96.6","2.77","","3.03","3.38","3.0","14309"
"Julio Urias","LAD","11","1","0","19","19","107.1","9.22","2.26","0.75",".268","79.5%","40.8%","7.5%","94.0","2.52","","3.08","3.96","2.9","14765"
"Adam Wainwright","STL","13","2","0","19","19","126.2","7.18","1.99","0.71",".250","80.9%","46.3%","9.0%","88.9","2.49","","3.31","3.83","2.9","2233"
"Eduardo Rodriguez","BOS","8","4","0","20","19","95.0","10.89","2.84","0.85",".357","72.2%","44.3%","10.1%","92.8","3.88","","2.96","3.38","2.8","13164"
"Lucas Giolito","CHW","6","4","0","18","18","103.0","9.17","2.36","1.05",".278","77.2%","31.5%","10.3%","94.0","3.32","","3.46","3.95","2.7","15474"
"Jose Berrios","- - -","5","7","0","19","19","114.2","9.65","1.96","0.94",".278","70.1%","42.1%","10.6%","93.9","3.53","","3.33","3.71","2.7","14168"
