"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Jacob deGrom","NYM","43.9%","75.2%","56.3%","45.7%","77.1%","62.3%","39.5%","62.8%","21.2%","13.5%","34.7%","10954"
"Julio Urias","LAD","38.9%","67.2%","52.9%","64.2%","82.0%","75.3%","49.4%","73.4%","13.0%","19.1%","32.1%","14765"
"Pablo Lopez","MIA","38.0%","66.7%","50.4%","70.6%","84.8%","78.7%","43.2%","63.2%","10.7%","15.7%","26.5%","17085"
"Joe Musgrove","SDP","37.5%","62.3%","47.8%","54.7%","82.3%","69.7%","41.7%","64.1%","14.5%","18.3%","32.8%","12970"
"Matthew Boyd","DET","36.1%","68.5%","51.1%","72.8%","83.4%","79.4%","46.3%","71.1%","10.5%","16.9%","27.4%","15440"
"Kyle Hendricks","CHC","36.0%","65.5%","49.6%","69.0%","89.2%","81.3%","46.1%","71.9%","9.3%","19.6%","28.8%","12049"
"Jordan Montgomery","NYY","35.9%","68.3%","49.2%","62.9%","83.7%","74.7%","41.0%","66.8%","12.4%","16.4%","28.9%","16511"
"Clayton Kershaw","LAD","35.8%","69.6%","50.8%","46.7%","81.4%","67.8%","44.3%","62.8%","16.4%","15.9%","32.3%","2036"
"Gerrit Cole","NYY","35.8%","66.6%","49.1%","59.1%","77.9%","70.1%","43.2%","68.5%","14.7%","18.7%","33.4%","13125"
"Kevin Gausman","SFG","35.8%","69.1%","50.7%","54.2%","77.9%","68.7%","44.9%","63.4%","15.9%","17.3%","33.2%","14107"
"Shane Bieber","CLE","35.7%","64.3%","47.8%","42.4%","82.8%","65.4%","42.3%","62.4%","16.5%","17.4%","33.9%","19427"
"Hyun-Jin Ryu","TOR","35.7%","63.6%","47.6%","75.6%","81.9%","79.2%","42.7%","60.4%","9.9%","18.4%","28.3%","14444"
"Marcus Stroman","NYM","35.6%","67.8%","49.9%","62.4%","84.8%","75.8%","44.2%","62.5%","12.0%","16.4%","28.5%","13431"
"Aaron Nola","PHI","35.5%","68.1%","49.8%","61.1%","82.4%","73.9%","43.8%","67.7%","13.0%","17.6%","30.6%","16149"
"Cole Irvin","OAK","35.3%","72.4%","52.2%","74.9%","84.6%","81.0%","45.7%","70.2%","9.9%","16.1%","26.0%","19244"
"Frankie Montas","OAK","35.2%","73.8%","52.2%","67.2%","82.0%","76.4%","44.0%","65.7%","12.3%","15.0%","27.3%","14309"
"Sandy Alcantara","MIA","35.0%","71.7%","52.0%","59.3%","83.0%","74.4%","46.2%","62.0%","13.3%","15.2%","28.5%","18684"
"Zack Wheeler","PHI","34.8%","71.3%","51.2%","63.6%","79.7%","73.7%","44.9%","64.5%","13.5%","16.1%","29.6%","10310"
"Ryan Yarbrough","TBR","34.3%","67.8%","47.5%","71.2%","83.4%","78.1%","39.4%","61.5%","10.4%","17.8%","28.2%","16502"
"Yusei Kikuchi","SEA","33.9%","66.2%","48.5%","53.4%","83.4%","72.0%","45.4%","66.1%","13.6%","17.9%","31.5%","20633"
"Lucas Giolito","CHW","33.9%","71.3%","51.1%","58.4%","74.7%","68.9%","46.0%","64.1%","15.9%","15.0%","30.9%","15474"
"Trevor Rogers","MIA","33.9%","70.8%","49.5%","54.6%","79.2%","69.5%","42.4%","56.9%","15.1%","16.3%","31.4%","22286"
"Tyler Anderson","PIT","33.5%","74.6%","51.8%","73.5%","80.3%","77.9%","44.5%","66.1%","11.5%","15.8%","27.3%","12880"
"Aaron Civale","CLE","33.5%","70.2%","48.0%","68.3%","88.5%","80.0%","39.5%","65.1%","9.6%","16.1%","25.7%","19479"
"Zack Greinke","HOU","33.4%","67.3%","46.7%","68.3%","90.4%","80.8%","39.1%","67.9%","9.0%","17.7%","26.6%","1943"
"Zach Eflin","PHI","33.3%","69.4%","49.4%","68.9%","86.3%","79.8%","44.5%","64.5%","10.0%","19.0%","29.0%","13774"
"Jose Berrios","MIN","33.2%","64.5%","46.3%","65.8%","86.0%","77.6%","41.7%","62.1%","10.4%","18.7%","29.1%","14168"
"Luis Castillo","CIN","33.2%","71.3%","48.2%","65.5%","82.7%","75.5%","39.4%","60.3%","11.8%","15.6%","27.4%","15689"
"Max Scherzer","WSN","32.9%","71.8%","49.6%","47.1%","78.6%","66.7%","42.9%","61.9%","16.5%","15.4%","31.9%","3137"
"Dallas Keuchel","CHW","32.8%","66.4%","44.4%","70.9%","85.5%","78.5%","34.5%","58.0%","9.6%","17.4%","27.0%","9434"
"John Means","BAL","32.7%","73.8%","50.9%","65.6%","76.4%","72.5%","44.4%","72.8%","14.0%","15.2%","29.2%","16269"
"Tyler Glasnow","TBR","32.6%","68.1%","48.8%","36.4%","80.9%","64.8%","45.9%","62.4%","17.2%","16.5%","33.7%","14374"
"Walker Buehler","LAD","32.2%","70.1%","49.7%","61.4%","84.8%","76.6%","46.1%","66.3%","11.6%","18.0%","29.6%","19374"
