"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Jacob deGrom","NYM","6","2","0","10","10","64.0","14.48","1.13","0.42",".211","90.6%","43.8%","6.7%","99.1","0.56","","0.94","1.57","3.8","10954"
"Zack Wheeler","PHI","4","3","0","13","13","90.1","11.16","1.79","0.70",".272","80.9%","47.1%","10.3%","97.5","2.29","","2.40","2.72","3.3","10310"
"Gerrit Cole","NYY","7","3","0","13","13","81.2","12.45","1.21","0.88",".297","82.2%","42.9%","11.1%","97.5","2.31","","2.12","2.40","3.3","13125"
"Brandon Woodruff","MIL","5","2","0","13","13","83.0","10.52","1.84","0.65",".200","87.9%","47.6%","10.7%","96.7","1.52","","2.50","2.75","2.7","16162"
"Kevin Gausman","SFG","7","1","0","13","13","81.2","10.69","1.98","0.66",".213","88.1%","43.2%","7.9%","94.8","1.43","","2.41","3.10","2.7","14107"
"Trevor Rogers","MIA","7","3","0","14","14","81.2","10.47","2.87","0.44",".275","81.9%","41.7%","5.6%","94.6","1.87","","2.51","3.41","2.6","22286"
"Clayton Kershaw","LAD","8","5","0","14","14","82.1","10.38","1.53","0.87",".279","69.6%","48.6%","11.3%","90.8","3.39","","2.74","3.00","2.6","2036"
"Tyler Glasnow","TBR","5","2","0","14","14","88.0","12.58","2.76","1.02",".250","82.4%","45.3%","14.3%","97.3","2.66","","2.77","2.70","2.5","14374"
"Nathan Eovaldi","BOS","7","3","0","14","14","79.0","8.43","2.05","0.34",".326","69.2%","44.3%","4.2%","97.5","3.76","","2.63","3.72","2.5","9132"
"Taijuan Walker","NYM","6","2","0","13","12","72.2","9.66","2.97","0.37",".262","75.9%","37.5%","4.2%","94.6","2.35","","2.67","3.86","2.4","11836"
"Shane Bieber","CLE","7","4","0","14","14","90.2","12.90","3.28","1.09",".337","80.7%","44.4%","15.9%","93.0","3.28","","3.10","2.87","2.3","19427"
"Max Scherzer","WSN","5","4","0","13","13","77.1","12.10","1.75","1.28",".239","89.1%","29.4%","13.1%","94.3","2.21","","3.07","3.13","2.2","3137"
"Yu Darvish","SDP","6","2","0","14","14","84.0","10.39","2.25","0.96",".254","82.0%","34.1%","9.1%","94.9","2.57","","3.25","3.94","2.2","13074"
"Zach Eflin","PHI","2","5","0","13","13","79.0","8.77","1.14","1.03",".343","72.9%","42.9%","11.7%","93.5","3.99","","3.12","3.36","2.2","13774"
"Aaron Nola","PHI","5","4","0","14","14","83.0","10.19","1.95","1.08",".312","75.3%","41.1%","11.6%","92.9","3.69","","3.27","3.53","2.1","16149"
