"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Tyler Anderson","- - -","39.9%","73.9%","55.1%","70.3%","85.1%","79.2%","44.7%","70.8%","11.5%","14.7%","26.2%","12880"
"Sandy Alcantara","MIA","37.8%","73.4%","53.6%","59.4%","85.3%","75.1%","44.3%","65.5%","13.3%","14.1%","27.4%","18684"
"Corbin Burnes","MIL","37.6%","66.7%","48.7%","50.4%","84.3%","68.1%","38.2%","61.8%","15.5%","16.6%","32.2%","19361"
"Brandon Woodruff","MIL","37.6%","71.9%","52.8%","66.6%","80.6%","75.0%","44.3%","66.3%","13.2%","15.7%","28.9%","16162"
"Frankie Montas","OAK","36.4%","68.4%","48.8%","53.3%","83.4%","69.7%","38.7%","64.6%","14.8%","15.9%","30.7%","14309"
"Patrick Corbin","WSN","35.8%","67.3%","47.9%","58.7%","89.6%","75.5%","38.6%","68.7%","11.8%","15.4%","27.2%","9323"
"Zack Wheeler","PHI","35.6%","72.6%","51.5%","65.6%","85.3%","77.5%","43.2%","68.4%","11.6%","15.3%","26.9%","10310"
"Kevin Gausman","SFG","35.5%","74.5%","53.1%","52.4%","83.2%","71.9%","45.2%","63.5%","14.9%","14.7%","29.6%","14107"
"Kyle Hendricks","CHC","35.4%","67.8%","47.8%","76.0%","86.9%","81.9%","38.1%","64.9%","8.7%","18.0%","26.7%","12049"
"Nathan Eovaldi","BOS","35.4%","70.4%","51.6%","60.6%","82.6%","74.5%","46.3%","66.2%","13.1%","17.7%","30.8%","9132"
"Logan Webb","SFG","35.4%","64.4%","48.0%","52.4%","88.0%","73.2%","43.5%","69.9%","12.8%","18.4%","31.3%","17995"
"Robbie Ray","TOR","35.2%","75.2%","52.2%","55.3%","81.4%","71.3%","42.4%","59.9%","15.0%","13.5%","28.5%","11486"
"Gerrit Cole","NYY","35.1%","68.4%","48.7%","56.3%","81.0%","70.4%","40.9%","65.6%","14.4%","16.7%","31.1%","13125"
"Eduardo Rodriguez","BOS","34.9%","71.3%","49.1%","65.2%","80.8%","74.1%","39.1%","62.6%","12.7%","15.5%","28.2%","13164"
"Wade Miley","CIN","34.6%","69.5%","47.4%","70.0%","85.4%","78.3%","36.7%","59.9%","10.3%","15.2%","25.5%","8779"
"Jose Berrios","- - -","34.5%","64.8%","47.1%","71.3%","86.2%","79.8%","41.7%","66.2%","9.5%","19.5%","29.0%","14168"
"Cole Irvin","OAK","34.5%","73.5%","51.2%","77.8%","87.6%","83.8%","42.9%","61.8%","8.3%","15.7%","24.0%","19244"
"Hyun-Jin Ryu","TOR","34.4%","66.1%","47.0%","69.8%","88.1%","80.0%","39.7%","66.3%","9.4%","19.0%","28.3%","14444"
"Max Scherzer","- - -","34.3%","72.1%","50.9%","54.8%","78.8%","69.7%","43.9%","65.6%","15.4%","16.0%","31.4%","3137"
"Julio Urias","LAD","34.2%","68.0%","49.7%","67.9%","87.3%","80.0%","45.8%","68.2%","9.9%","17.8%","27.7%","14765"
"Marco Gonzales","SEA","34.2%","71.4%","48.6%","73.7%","87.8%","81.7%","38.7%","63.2%","8.9%","16.2%","25.1%","15467"
"Sean Manaea","OAK","34.1%","71.0%","52.2%","64.7%","80.6%","75.3%","49.0%","70.0%","12.9%","16.2%","29.1%","15873"
"Luis Castillo","CIN","33.9%","71.6%","48.9%","57.6%","81.0%","71.2%","39.7%","58.7%","14.1%","14.1%","28.1%","15689"
"Walker Buehler","LAD","33.7%","67.6%","48.2%","59.2%","87.3%","76.0%","42.6%","64.8%","11.6%","18.1%","29.7%","19374"
"Chris Flexen","SEA","32.5%","71.0%","48.9%","69.6%","89.9%","82.2%","42.7%","64.1%","8.7%","15.8%","24.5%","13896"
"Charlie Morton","ATL","32.3%","64.5%","46.3%","53.1%","85.2%","72.5%","43.4%","58.3%","12.7%","18.3%","31.0%","4676"
"Jordan Lyles","TEX","32.3%","71.1%","48.0%","65.5%","87.2%","78.5%","40.6%","60.1%","10.3%","15.8%","26.1%","7593"
"J.A. Happ","- - -","32.3%","72.0%","47.4%","71.9%","89.1%","81.9%","38.2%","61.7%","8.6%","14.7%","23.3%","7410"
"Lucas Giolito","CHW","32.1%","73.4%","49.8%","51.8%","81.2%","70.3%","42.8%","56.7%","14.8%","14.2%","29.0%","15474"
"Kyle Freeland","COL","31.8%","67.6%","46.2%","68.0%","89.8%","80.8%","40.3%","60.0%","8.9%","18.1%","27.0%","16256"
"Max Fried","ATL","31.8%","68.6%","48.5%","58.8%","87.6%","77.3%","45.5%","64.7%","11.0%","16.8%","27.8%","13743"
"Joe Musgrove","SDP","31.7%","63.4%","45.4%","56.6%","86.3%","74.5%","43.3%","58.8%","11.6%","19.0%","30.6%","12970"
"Kyle Gibson","- - -","31.6%","67.8%","44.0%","65.4%","91.2%","79.1%","34.3%","60.3%","9.2%","16.3%","25.5%","10123"
"Dylan Cease","CHW","31.6%","67.5%","46.5%","51.7%","80.3%","68.9%","41.5%","60.4%","14.4%","15.9%","30.4%","18525"
"Adam Wainwright","STL","30.9%","61.6%","44.9%","68.7%","89.7%","81.9%","45.7%","67.4%","8.1%","20.9%","29.0%","2233"
"Cal Quantrill","CLE","30.2%","69.4%","46.3%","69.6%","86.9%","80.3%","41.1%","65.5%","9.1%","16.4%","25.5%","19312"
"Tyler Mahle","CIN","29.6%","68.5%","44.7%","63.3%","81.3%","74.0%","38.8%","63.8%","11.6%","17.3%","29.0%","16358"
"German Marquez","COL","28.9%","69.8%","47.6%","53.8%","86.8%","76.0%","45.9%","55.9%","11.4%","15.9%","27.4%","15038"
"Lance McCullers Jr.","HOU","27.8%","61.1%","41.9%","48.7%","87.2%","72.5%","42.5%","56.0%","11.5%","19.8%","31.3%","14120"
"Framber Valdez","HOU","26.0%","61.2%","41.3%","54.3%","89.0%","76.6%","43.3%","54.5%","9.6%","18.9%","28.6%","17295"
